trial_id,observer_id,observer_cohort,evaluation_dimension,artwork_id,left_method,right_method,selected_position,winner_method,loser_method
T001037,E05,Faculty,Visual Harmony,IMG20260430103113,M0,M4,Left,M0,M4
T001038,E05,Faculty,Style Authenticity,IMG20260430102902,M0,M1,Left,M0,M1
T001039,E05,Faculty,Visual Harmony,IMG20260430103043,M1,M4,Right,M4,M1
T001040,E05,Faculty,Style Authenticity,IMG20260430102920,M1,M4,Right,M4,M1
T001041,E05,Faculty,Style Authenticity,IMG20260430102920,M4,Reinhard,Left,M4,Reinhard
T001042,E05,Faculty,Visual Harmony,IMG20260430110350,M4,DDColor,Left,M4,DDColor
T001043,E05,Faculty,Style Authenticity,IMG20260430103435,M0,DDColor,Right,DDColor,M0
T001044,E05,Faculty,Visual Harmony,IMG20260430104113,M4,DDColor,Right,DDColor,M4
T001045,E05,Faculty,Style Authenticity,IMG20260430104410,M0,M4,Right,M4,M0
T001046,E05,Faculty,Style Authenticity,IMG20260430103113,M1,M0,Left,M1,M0
T001047,E05,Faculty,Style Authenticity,IMG20260430104113,M4,M0,Left,M4,M0
T001048,E05,Faculty,Visual Harmony,IMG20260430103435,Reinhard,M1,Left,Reinhard,M1
T001049,E05,Faculty,Style Authenticity,IMG20260430102920,Reinhard,M0,Right,M0,Reinhard
T001050,E05,Faculty,Style Authenticity,IMG20260430104348,M1,DDColor,Left,M1,DDColor
T001051,E05,Faculty,Style Authenticity,IMG20260430104348,M4,DDColor,Right,DDColor,M4
T001052,E05,Faculty,Style Authenticity,IMG20260430110350,M0,M4,Right,M4,M0
T001053,E05,Faculty,Visual Harmony,IMG20260430103043,M4,Reinhard,Left,M4,Reinhard
T001054,E05,Faculty,Style Authenticity,IMG20260430103113,M1,DDColor,Left,M1,DDColor
T001055,E05,Faculty,Style Authenticity,IMG20260430103435,M4,M1,Left,M4,M1
T001056,E05,Faculty,Style Authenticity,IMG20260430104348,M4,M1,Left,M4,M1
T001057,E05,Faculty,Style Authenticity,IMG20260430104352,M4,M1,Left,M4,M1
T001058,E05,Faculty,Style Authenticity,IMG20260430103043,M4,M0,Left,M4,M0
T001059,E05,Faculty,Style Authenticity,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T001060,E05,Faculty,Visual Harmony,IMG20260430102902,M1,M0,Left,M1,M0
T001061,E05,Faculty,Style Authenticity,IMG20260430104352,M1,DDColor,Right,DDColor,M1
T001062,E05,Faculty,Visual Harmony,IMG20260430104410,M0,M1,Right,M1,M0
T001063,E05,Faculty,Style Authenticity,IMG20260430104352,DDColor,M0,Left,DDColor,M0
T001064,E05,Faculty,Visual Harmony,IMG20260430103435,M4,DDColor,Left,M4,DDColor
T001065,E05,Faculty,Style Authenticity,IMG20260430103113,M4,DDColor,Right,DDColor,M4
T001066,E05,Faculty,Visual Harmony,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T001067,E05,Faculty,Visual Harmony,IMG20260430110350,Reinhard,M1,Left,Reinhard,M1
T001068,E05,Faculty,Style Authenticity,IMG20260430103113,M4,M1,Left,M4,M1
T001069,E05,Faculty,Style Authenticity,IMG20260430103755,M0,M4,Left,M0,M4
T001070,E05,Faculty,Style Authenticity,IMG20260430102920,M4,M0,Right,M0,M4
T001071,E05,Faculty,Style Authenticity,IMG20260430102902,DDColor,Reinhard,Right,Reinhard,DDColor
T001072,E05,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M4,Right,M4,Reinhard
T001073,E05,Faculty,Visual Harmony,IMG20260430103656,M1,DDColor,Right,DDColor,M1
T001074,E05,Faculty,Visual Harmony,IMG20260430110350,Reinhard,M4,Right,M4,Reinhard
T001075,E05,Faculty,Visual Harmony,IMG20260430104410,DDColor,Reinhard,Left,DDColor,Reinhard
T001076,E05,Faculty,Style Authenticity,IMG20260430102920,Reinhard,M1,Left,Reinhard,M1
T001077,E05,Faculty,Style Authenticity,IMG20260430103755,M4,Reinhard,Left,M4,Reinhard
T001078,E05,Faculty,Style Authenticity,IMG20260430103755,M1,DDColor,Right,DDColor,M1
T001079,E05,Faculty,Visual Harmony,IMG20260430103043,M1,M0,Right,M0,M1
T001080,E05,Faculty,Visual Harmony,IMG20260430102920,M4,Reinhard,Right,Reinhard,M4
T001081,E05,Faculty,Visual Harmony,IMG20260430103435,M1,M0,Left,M1,M0
T001082,E05,Faculty,Visual Harmony,IMG20260430103113,M4,M1,Right,M1,M4
T001083,E05,Faculty,Style Authenticity,IMG20260430103755,M0,DDColor,Left,M0,DDColor
T001084,E05,Faculty,Style Authenticity,IMG20260430102920,DDColor,Reinhard,Left,DDColor,Reinhard
T001085,E05,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M4,Right,M4,Reinhard
T001086,E05,Faculty,Style Authenticity,IMG20260430110350,M0,M1,Left,M0,M1
T001087,E05,Faculty,Visual Harmony,IMG20260430102902,DDColor,Reinhard,Left,DDColor,Reinhard
T001088,E05,Faculty,Style Authenticity,IMG20260430104113,Reinhard,M0,Left,Reinhard,M0
T001089,E05,Faculty,Style Authenticity,IMG20260430104410,Reinhard,M4,Right,M4,Reinhard
T001090,E05,Faculty,Style Authenticity,IMG20260430104410,DDColor,M1,Right,M1,DDColor
T001091,E05,Faculty,Style Authenticity,IMG20260430104352,Reinhard,M0,Left,Reinhard,M0
T001092,E05,Faculty,Visual Harmony,IMG20260430104348,Reinhard,M4,Right,M4,Reinhard
T001093,E05,Faculty,Visual Harmony,IMG20260430104352,M0,DDColor,Left,M0,DDColor
T001094,E05,Faculty,Visual Harmony,IMG20260430102920,M0,M4,Right,M4,M0
T001095,E05,Faculty,Visual Harmony,IMG20260430103656,M4,Reinhard,Right,Reinhard,M4
T001096,E05,Faculty,Visual Harmony,IMG20260430103113,M1,DDColor,Left,M1,DDColor
T001097,E05,Faculty,Style Authenticity,IMG20260430103656,M1,DDColor,Left,M1,DDColor
T001098,E05,Faculty,Style Authenticity,IMG20260430104352,M0,M4,Right,M4,M0
T001099,E05,Faculty,Visual Harmony,IMG20260430103656,M0,Reinhard,Left,M0,Reinhard
T001100,E05,Faculty,Visual Harmony,IMG20260430103755,M0,DDColor,Left,M0,DDColor
T001101,E05,Faculty,Style Authenticity,IMG20260430104348,M0,Reinhard,Left,M0,Reinhard
T001102,E05,Faculty,Visual Harmony,IMG20260430103656,M4,DDColor,Left,M4,DDColor
T001103,E05,Faculty,Style Authenticity,IMG20260430102902,DDColor,M0,Right,M0,DDColor
T001104,E05,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M0,Right,M0,Reinhard
T001105,E05,Faculty,Style Authenticity,IMG20260430103435,Reinhard,DDColor,Right,DDColor,Reinhard
T001106,E05,Faculty,Visual Harmony,IMG20260430103755,M4,M0,Left,M4,M0
T001107,E05,Faculty,Visual Harmony,IMG20260430104352,M4,Reinhard,Left,M4,Reinhard
T001108,E05,Faculty,Visual Harmony,IMG20260430110350,M1,DDColor,Right,DDColor,M1
T001109,E05,Faculty,Style Authenticity,IMG20260430103435,M4,M0,Left,M4,M0
T001110,E05,Faculty,Style Authenticity,IMG20260430103043,DDColor,Reinhard,Right,Reinhard,DDColor
T001111,E05,Faculty,Style Authenticity,IMG20260430103656,M4,M0,Left,M4,M0
T001112,E05,Faculty,Style Authenticity,IMG20260430103043,M1,DDColor,Left,M1,DDColor
T001113,E05,Faculty,Style Authenticity,IMG20260430110350,Reinhard,M4,Right,M4,Reinhard
T001114,E05,Faculty,Style Authenticity,IMG20260430104113,M0,DDColor,Right,DDColor,M0
T001115,E05,Faculty,Style Authenticity,IMG20260430104410,M0,M1,Right,M1,M0
T001116,E05,Faculty,Style Authenticity,IMG20260430103656,M0,Reinhard,Right,Reinhard,M0
T001117,E05,Faculty,Style Authenticity,IMG20260430103113,M0,M4,Right,M4,M0
T001118,E05,Faculty,Style Authenticity,IMG20260430102902,M1,Reinhard,Right,Reinhard,M1
T001119,E05,Faculty,Visual Harmony,IMG20260430104352,M4,M1,Left,M4,M1
T001120,E05,Faculty,Visual Harmony,IMG20260430104348,M1,Reinhard,Left,M1,Reinhard
T001121,E05,Faculty,Visual Harmony,IMG20260430104113,DDColor,M1,Right,M1,DDColor
T001122,E05,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M1,Right,M1,Reinhard
T001123,E05,Faculty,Style Authenticity,IMG20260430103043,Reinhard,M1,Right,M1,Reinhard
T001124,E05,Faculty,Visual Harmony,IMG20260430102902,M1,DDColor,Right,DDColor,M1
T001125,E05,Faculty,Visual Harmony,IMG20260430103435,Reinhard,DDColor,Left,Reinhard,DDColor
T001126,E05,Faculty,Visual Harmony,IMG20260430102902,Reinhard,M0,Right,M0,Reinhard
T001127,E05,Faculty,Style Authenticity,IMG20260430103755,M0,Reinhard,Right,Reinhard,M0
T001128,E05,Faculty,Visual Harmony,IMG20260430103113,DDColor,M0,Left,DDColor,M0
T001129,E05,Faculty,Style Authenticity,IMG20260430104113,M1,Reinhard,Left,M1,Reinhard
T001130,E05,Faculty,Style Authenticity,IMG20260430103435,M1,Reinhard,Left,M1,Reinhard
T001131,E05,Faculty,Visual Harmony,IMG20260430103656,M4,M0,Left,M4,M0
T001132,E05,Faculty,Style Authenticity,IMG20260430103435,DDColor,M1,Right,M1,DDColor
T001133,E05,Faculty,Visual Harmony,IMG20260430103043,M1,DDColor,Left,M1,DDColor
T001134,E05,Faculty,Visual Harmony,IMG20260430104348,DDColor,Reinhard,Left,DDColor,Reinhard
T001135,E05,Faculty,Style Authenticity,IMG20260430103656,M1,M4,Right,M4,M1
T001136,E05,Faculty,Visual Harmony,IMG20260430104348,DDColor,M1,Right,M1,DDColor
T001137,E05,Faculty,Visual Harmony,IMG20260430104410,M1,DDColor,Left,M1,DDColor
T001138,E05,Faculty,Style Authenticity,IMG20260430103755,M1,M4,Left,M1,M4
T001139,E05,Faculty,Style Authenticity,IMG20260430102902,M0,M4,Right,M4,M0
T001140,E05,Faculty,Visual Harmony,IMG20260430103755,M4,M1,Left,M4,M1
T001141,E05,Faculty,Visual Harmony,IMG20260430103755,M1,DDColor,Right,DDColor,M1
T001142,E05,Faculty,Visual Harmony,IMG20260430104410,DDColor,M0,Left,DDColor,M0
T001143,E05,Faculty,Visual Harmony,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T001144,E05,Faculty,Style Authenticity,IMG20260430104348,DDColor,Reinhard,Right,Reinhard,DDColor
T001145,E05,Faculty,Style Authenticity,IMG20260430103755,M0,M1,Left,M0,M1
T001146,E05,Faculty,Style Authenticity,IMG20260430104410,DDColor,M0,Left,DDColor,M0
T001147,E05,Faculty,Style Authenticity,IMG20260430103755,Reinhard,M1,Right,M1,Reinhard
T001148,E05,Faculty,Visual Harmony,IMG20260430102920,M4,M1,Left,M4,M1
T001149,E05,Faculty,Visual Harmony,IMG20260430104348,DDColor,M0,Left,DDColor,M0
T001150,E05,Faculty,Visual Harmony,IMG20260430104352,M1,DDColor,Left,M1,DDColor
T001151,E05,Faculty,Style Authenticity,IMG20260430104113,M4,DDColor,Left,M4,DDColor
T001152,E05,Faculty,Visual Harmony,IMG20260430102902,M1,Reinhard,Left,M1,Reinhard
T001153,E05,Faculty,Style Authenticity,IMG20260430103656,M1,Reinhard,Left,M1,Reinhard
T001154,E05,Faculty,Style Authenticity,IMG20260430103113,M1,Reinhard,Left,M1,Reinhard
T001155,E05,Faculty,Style Authenticity,IMG20260430104410,Reinhard,M1,Left,Reinhard,M1
T001156,E05,Faculty,Style Authenticity,IMG20260430110350,M0,DDColor,Right,DDColor,M0
T001157,E05,Faculty,Visual Harmony,IMG20260430110350,Reinhard,DDColor,Right,DDColor,Reinhard
T001158,E05,Faculty,Style Authenticity,IMG20260430104113,Reinhard,DDColor,Left,Reinhard,DDColor
T001159,E05,Faculty,Visual Harmony,IMG20260430103043,M0,Reinhard,Left,M0,Reinhard
T001160,E05,Faculty,Visual Harmony,IMG20260430104113,M0,M1,Left,M0,M1
T001161,E05,Faculty,Visual Harmony,IMG20260430104352,Reinhard,DDColor,Right,DDColor,Reinhard
T001162,E05,Faculty,Visual Harmony,IMG20260430102902,DDColor,M0,Left,DDColor,M0
T001163,E05,Faculty,Visual Harmony,IMG20260430110350,Reinhard,M0,Left,Reinhard,M0
T001164,E05,Faculty,Style Authenticity,IMG20260430102902,M0,Reinhard,Left,M0,Reinhard
T001165,E05,Faculty,Visual Harmony,IMG20260430104410,M1,Reinhard,Left,M1,Reinhard
T001166,E05,Faculty,Visual Harmony,IMG20260430102920,M0,Reinhard,Left,M0,Reinhard
T001167,E05,Faculty,Visual Harmony,IMG20260430104348,M1,M0,Right,M0,M1
T001168,E05,Faculty,Style Authenticity,IMG20260430103656,M4,DDColor,Left,M4,DDColor
T001169,E05,Faculty,Visual Harmony,IMG20260430102920,Reinhard,M1,Right,M1,Reinhard
T001170,E05,Faculty,Style Authenticity,IMG20260430103656,M0,DDColor,Left,M0,DDColor
T001171,E05,Faculty,Visual Harmony,IMG20260430104410,M4,DDColor,Left,M4,DDColor
T001172,E05,Faculty,Visual Harmony,IMG20260430103656,M4,M1,Left,M4,M1
T001173,E05,Faculty,Style Authenticity,IMG20260430103435,M4,DDColor,Left,M4,DDColor
T001174,E05,Faculty,Style Authenticity,IMG20260430103043,DDColor,M4,Left,DDColor,M4
T001175,E05,Faculty,Visual Harmony,IMG20260430103755,Reinhard,DDColor,Right,DDColor,Reinhard
T001176,E05,Faculty,Style Authenticity,IMG20260430104352,Reinhard,M1,Left,Reinhard,M1
T001177,E05,Faculty,Visual Harmony,IMG20260430103435,M4,M0,Left,M4,M0
T001178,E05,Faculty,Visual Harmony,IMG20260430103435,M0,DDColor,Right,DDColor,M0
T001179,E05,Faculty,Style Authenticity,IMG20260430104352,M4,Reinhard,Left,M4,Reinhard
T001180,E05,Faculty,Style Authenticity,IMG20260430110350,M1,Reinhard,Left,M1,Reinhard
T001181,E05,Faculty,Style Authenticity,IMG20260430104352,M0,M1,Left,M0,M1
T001182,E05,Faculty,Style Authenticity,IMG20260430104113,M0,M1,Left,M0,M1
T001183,E05,Faculty,Visual Harmony,IMG20260430104352,Reinhard,M0,Right,M0,Reinhard
T001184,E05,Faculty,Style Authenticity,IMG20260430102902,M1,M4,Right,M4,M1
T001185,E05,Faculty,Visual Harmony,IMG20260430103435,Reinhard,M4,Right,M4,Reinhard
T001186,E05,Faculty,Style Authenticity,IMG20260430103755,Reinhard,DDColor,Left,Reinhard,DDColor
T001187,E05,Faculty,Style Authenticity,IMG20260430110350,M4,DDColor,Left,M4,DDColor
T001188,E05,Faculty,Visual Harmony,IMG20260430102902,M4,M1,Left,M4,M1
T001189,E05,Faculty,Style Authenticity,IMG20260430110350,M1,M4,Right,M4,M1
T001190,E05,Faculty,Style Authenticity,IMG20260430104352,DDColor,Reinhard,Right,Reinhard,DDColor
T001191,E05,Faculty,Style Authenticity,IMG20260430104348,M0,M4,Right,M4,M0
T001192,E05,Faculty,Visual Harmony,IMG20260430104348,M4,M1,Left,M4,M1
T001193,E05,Faculty,Visual Harmony,IMG20260430104348,DDColor,M4,Left,DDColor,M4
T001194,E05,Faculty,Style Authenticity,IMG20260430110350,Reinhard,M0,Right,M0,Reinhard
T001195,E05,Faculty,Style Authenticity,IMG20260430104348,M1,M0,Right,M0,M1
T001196,E05,Faculty,Style Authenticity,IMG20260430104113,M1,M4,Right,M4,M1
T001197,E05,Faculty,Visual Harmony,IMG20260430104113,DDColor,Reinhard,Right,Reinhard,DDColor
T001198,E05,Faculty,Visual Harmony,IMG20260430102902,M4,M0,Left,M4,M0
T001199,E05,Faculty,Visual Harmony,IMG20260430104352,M1,M0,Left,M1,M0
T001200,E05,Faculty,Style Authenticity,IMG20260430104410,M4,DDColor,Left,M4,DDColor
T001201,E06,Faculty,Style Authenticity,IMG20260430110350,M4,M0,Left,M4,M0
T001202,E06,Faculty,Style Authenticity,IMG20260430103656,M0,M1,Right,M1,M0
T001203,E06,Faculty,Style Authenticity,IMG20260430104348,DDColor,Reinhard,Right,Reinhard,DDColor
T001204,E06,Faculty,Visual Harmony,IMG20260430102902,M1,Reinhard,Left,M1,Reinhard
T001205,E06,Faculty,Visual Harmony,IMG20260430103113,M0,M4,Right,M4,M0
T001206,E06,Faculty,Style Authenticity,IMG20260430103113,DDColor,M0,Left,DDColor,M0
T001207,E06,Faculty,Style Authenticity,IMG20260430102902,Reinhard,M4,Left,Reinhard,M4
T001208,E06,Faculty,Style Authenticity,IMG20260430103656,M0,M4,Left,M0,M4
T001209,E06,Faculty,Visual Harmony,IMG20260430103656,Reinhard,M1,Left,Reinhard,M1
T001210,E06,Faculty,Style Authenticity,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T001211,E06,Faculty,Style Authenticity,IMG20260430102920,M0,M1,Left,M0,M1
T001212,E06,Faculty,Visual Harmony,IMG20260430102920,M1,M4,Right,M4,M1
T001213,E06,Faculty,Visual Harmony,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T001214,E06,Faculty,Style Authenticity,IMG20260430110350,M1,M4,Right,M4,M1
T001215,E06,Faculty,Visual Harmony,IMG20260430103656,Reinhard,M0,Left,Reinhard,M0
T001216,E06,Faculty,Visual Harmony,IMG20260430103755,M1,DDColor,Left,M1,DDColor
T001217,E06,Faculty,Style Authenticity,IMG20260430104352,M0,M1,Left,M0,M1
T001218,E06,Faculty,Style Authenticity,IMG20260430103113,DDColor,M1,Left,DDColor,M1
T001219,E06,Faculty,Style Authenticity,IMG20260430104410,M4,Reinhard,Left,M4,Reinhard
T001220,E06,Faculty,Visual Harmony,IMG20260430103113,M1,M4,Left,M1,M4
T001221,E06,Faculty,Visual Harmony,IMG20260430104352,Reinhard,DDColor,Left,Reinhard,DDColor
T001222,E06,Faculty,Style Authenticity,IMG20260430103113,M0,Reinhard,Right,Reinhard,M0
T001223,E06,Faculty,Style Authenticity,IMG20260430110350,M4,DDColor,Left,M4,DDColor
T001224,E06,Faculty,Visual Harmony,IMG20260430110350,M0,M1,Left,M0,M1
T001225,E06,Faculty,Visual Harmony,IMG20260430103755,Reinhard,M4,Right,M4,Reinhard
T001226,E06,Faculty,Visual Harmony,IMG20260430104410,M1,M0,Right,M0,M1
T001227,E06,Faculty,Visual Harmony,IMG20260430110350,DDColor,M1,Left,DDColor,M1
T001228,E06,Faculty,Style Authenticity,IMG20260430103435,DDColor,M4,Right,M4,DDColor
T001229,E06,Faculty,Visual Harmony,IMG20260430104113,DDColor,M0,Right,M0,DDColor
T001230,E06,Faculty,Visual Harmony,IMG20260430102902,M0,M4,Right,M4,M0
T001231,E06,Faculty,Style Authenticity,IMG20260430103656,M4,DDColor,Left,M4,DDColor
T001232,E06,Faculty,Style Authenticity,IMG20260430104352,M1,M4,Right,M4,M1
T001233,E06,Faculty,Style Authenticity,IMG20260430104410,M1,M0,Left,M1,M0
T001234,E06,Faculty,Visual Harmony,IMG20260430104352,M1,M4,Left,M1,M4
T001235,E06,Faculty,Visual Harmony,IMG20260430110350,M0,M4,Right,M4,M0
T001236,E06,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M4,Right,M4,Reinhard
T001237,E06,Faculty,Style Authenticity,IMG20260430103656,M4,M1,Left,M4,M1
T001238,E06,Faculty,Style Authenticity,IMG20260430104113,M1,Reinhard,Right,Reinhard,M1
T001239,E06,Faculty,Style Authenticity,IMG20260430104410,M0,M4,Right,M4,M0
T001240,E06,Faculty,Visual Harmony,IMG20260430103435,M1,M4,Left,M1,M4
T001241,E06,Faculty,Style Authenticity,IMG20260430104113,DDColor,Reinhard,Left,DDColor,Reinhard
T001242,E06,Faculty,Style Authenticity,IMG20260430104348,M1,Reinhard,Right,Reinhard,M1
T001243,E06,Faculty,Visual Harmony,IMG20260430104352,M4,Reinhard,Left,M4,Reinhard
T001244,E06,Faculty,Style Authenticity,IMG20260430102920,M0,Reinhard,Left,M0,Reinhard
T001245,E06,Faculty,Style Authenticity,IMG20260430110350,Reinhard,DDColor,Right,DDColor,Reinhard
T001246,E06,Faculty,Visual Harmony,IMG20260430103755,DDColor,M4,Left,DDColor,M4
T001247,E06,Faculty,Visual Harmony,IMG20260430102920,DDColor,M1,Left,DDColor,M1
T001248,E06,Faculty,Visual Harmony,IMG20260430104348,DDColor,M4,Right,M4,DDColor
T001249,E06,Faculty,Style Authenticity,IMG20260430103043,M0,DDColor,Left,M0,DDColor
T001250,E06,Faculty,Style Authenticity,IMG20260430103755,DDColor,Reinhard,Left,DDColor,Reinhard
T001251,E06,Faculty,Visual Harmony,IMG20260430104352,DDColor,M1,Left,DDColor,M1
T001252,E06,Faculty,Visual Harmony,IMG20260430103755,M1,M0,Right,M0,M1
T001253,E06,Faculty,Style Authenticity,IMG20260430104113,M1,M4,Right,M4,M1
T001254,E06,Faculty,Style Authenticity,IMG20260430103656,DDColor,M1,Left,DDColor,M1
T001255,E06,Faculty,Style Authenticity,IMG20260430110350,M0,DDColor,Left,M0,DDColor
T001256,E06,Faculty,Style Authenticity,IMG20260430103755,M0,Reinhard,Left,M0,Reinhard
T001257,E06,Faculty,Style Authenticity,IMG20260430102920,M0,DDColor,Left,M0,DDColor
T001258,E06,Faculty,Visual Harmony,IMG20260430102902,M0,Reinhard,Left,M0,Reinhard
T001259,E06,Faculty,Visual Harmony,IMG20260430104410,M1,Reinhard,Right,Reinhard,M1
T001260,E06,Faculty,Style Authenticity,IMG20260430103755,M1,Reinhard,Left,M1,Reinhard
T001261,E06,Faculty,Style Authenticity,IMG20260430103435,Reinhard,M1,Right,M1,Reinhard
T001262,E06,Faculty,Style Authenticity,IMG20260430104410,M1,DDColor,Left,M1,DDColor
T001263,E06,Faculty,Visual Harmony,IMG20260430104113,M4,Reinhard,Left,M4,Reinhard
T001264,E06,Faculty,Visual Harmony,IMG20260430103043,M0,M1,Left,M0,M1
T001265,E06,Faculty,Style Authenticity,IMG20260430103755,M0,M1,Left,M0,M1
T001266,E06,Faculty,Visual Harmony,IMG20260430103755,Reinhard,DDColor,Left,Reinhard,DDColor
T001267,E06,Faculty,Style Authenticity,IMG20260430104410,Reinhard,M1,Right,M1,Reinhard
T001268,E06,Faculty,Visual Harmony,IMG20260430104113,M1,M4,Right,M4,M1
T001269,E06,Faculty,Style Authenticity,IMG20260430103435,M1,M4,Right,M4,M1
T001270,E06,Faculty,Style Authenticity,IMG20260430102920,M1,DDColor,Left,M1,DDColor
T001271,E06,Faculty,Style Authenticity,IMG20260430103755,M4,Reinhard,Left,M4,Reinhard
T001272,E06,Faculty,Visual Harmony,IMG20260430104348,DDColor,M0,Left,DDColor,M0
T001273,E06,Faculty,Style Authenticity,IMG20260430103755,M0,M4,Left,M0,M4
T001274,E06,Faculty,Style Authenticity,IMG20260430103113,DDColor,Reinhard,Left,DDColor,Reinhard
T001275,E06,Faculty,Style Authenticity,IMG20260430103755,M1,M4,Right,M4,M1
T001276,E06,Faculty,Visual Harmony,IMG20260430102920,Reinhard,M0,Right,M0,Reinhard
T001277,E06,Faculty,Visual Harmony,IMG20260430103435,M0,DDColor,Right,DDColor,M0
T001278,E06,Faculty,Visual Harmony,IMG20260430103043,Reinhard,M1,Right,M1,Reinhard
T001279,E06,Faculty,Style Authenticity,IMG20260430103656,M1,Reinhard,Left,M1,Reinhard
T001280,E06,Faculty,Visual Harmony,IMG20260430110350,DDColor,M4,Right,M4,DDColor
T001281,E06,Faculty,Style Authenticity,IMG20260430102902,DDColor,M1,Left,DDColor,M1
T001282,E06,Faculty,Visual Harmony,IMG20260430103113,M4,Reinhard,Left,M4,Reinhard
T001283,E06,Faculty,Style Authenticity,IMG20260430104410,M0,Reinhard,Left,M0,Reinhard
T001284,E06,Faculty,Visual Harmony,IMG20260430102902,M1,M0,Left,M1,M0
T001285,E06,Faculty,Style Authenticity,IMG20260430102902,Reinhard,DDColor,Left,Reinhard,DDColor
T001286,E06,Faculty,Style Authenticity,IMG20260430104113,M1,M0,Right,M0,M1
T001287,E06,Faculty,Visual Harmony,IMG20260430103656,M1,M0,Right,M0,M1
T001288,E06,Faculty,Visual Harmony,IMG20260430103435,Reinhard,M1,Right,M1,Reinhard
T001289,E06,Faculty,Visual Harmony,IMG20260430102920,M4,M0,Left,M4,M0
T001290,E06,Faculty,Style Authenticity,IMG20260430104352,DDColor,M1,Right,M1,DDColor
T001291,E06,Faculty,Visual Harmony,IMG20260430104348,M0,M4,Right,M4,M0
T001292,E06,Faculty,Style Authenticity,IMG20260430110350,M1,Reinhard,Left,M1,Reinhard
T001293,E06,Faculty,Visual Harmony,IMG20260430104352,M1,M0,Left,M1,M0
T001294,E06,Faculty,Style Authenticity,IMG20260430104352,Reinhard,M1,Left,Reinhard,M1
T001295,E06,Faculty,Style Authenticity,IMG20260430102902,M0,DDColor,Left,M0,DDColor
T001296,E06,Faculty,Visual Harmony,IMG20260430102920,Reinhard,M1,Right,M1,Reinhard
T001297,E06,Faculty,Style Authenticity,IMG20260430103755,M4,DDColor,Left,M4,DDColor
T001298,E06,Faculty,Style Authenticity,IMG20260430104348,M4,M0,Right,M0,M4
T001299,E06,Faculty,Visual Harmony,IMG20260430110350,M4,Reinhard,Left,M4,Reinhard
T001300,E06,Faculty,Style Authenticity,IMG20260430103755,DDColor,M0,Right,M0,DDColor
T001301,E06,Faculty,Style Authenticity,IMG20260430104348,M0,DDColor,Left,M0,DDColor
T001302,E06,Faculty,Visual Harmony,IMG20260430103435,M0,M1,Left,M0,M1
T001303,E06,Faculty,Style Authenticity,IMG20260430104352,Reinhard,DDColor,Right,DDColor,Reinhard
T001304,E06,Faculty,Style Authenticity,IMG20260430103043,M1,Reinhard,Left,M1,Reinhard
T001305,E06,Faculty,Visual Harmony,IMG20260430110350,Reinhard,M0,Right,M0,Reinhard
T001306,E06,Faculty,Style Authenticity,IMG20260430104348,M0,M1,Left,M0,M1
T001307,E06,Faculty,Visual Harmony,IMG20260430103113,M0,DDColor,Right,DDColor,M0
T001308,E06,Faculty,Style Authenticity,IMG20260430103043,Reinhard,DDColor,Left,Reinhard,DDColor
T001309,E06,Faculty,Style Authenticity,IMG20260430103435,Reinhard,M0,Right,M0,Reinhard
T001310,E06,Faculty,Visual Harmony,IMG20260430110350,DDColor,Reinhard,Right,Reinhard,DDColor
T001311,E06,Faculty,Visual Harmony,IMG20260430103113,Reinhard,M1,Left,Reinhard,M1
T001312,E06,Faculty,Visual Harmony,IMG20260430104348,Reinhard,M0,Right,M0,Reinhard
T001313,E06,Faculty,Visual Harmony,IMG20260430104410,DDColor,M4,Left,DDColor,M4
T001314,E06,Faculty,Style Authenticity,IMG20260430104410,DDColor,Reinhard,Right,Reinhard,DDColor
T001315,E06,Faculty,Visual Harmony,IMG20260430103043,DDColor,M1,Right,M1,DDColor
T001316,E06,Faculty,Style Authenticity,IMG20260430103435,M0,M4,Left,M0,M4
T001317,E06,Faculty,Style Authenticity,IMG20260430104113,M0,Reinhard,Left,M0,Reinhard
T001318,E06,Faculty,Visual Harmony,IMG20260430103113,M4,DDColor,Left,M4,DDColor
T001319,E06,Faculty,Visual Harmony,IMG20260430103043,M1,M4,Right,M4,M1
T001320,E06,Faculty,Style Authenticity,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T001321,E06,Faculty,Style Authenticity,IMG20260430104113,DDColor,M0,Right,M0,DDColor
T001322,E06,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M0,Right,M0,Reinhard
T001323,E06,Faculty,Visual Harmony,IMG20260430103113,M0,M1,Right,M1,M0
T001324,E06,Faculty,Visual Harmony,IMG20260430103755,M0,DDColor,Right,DDColor,M0
T001325,E06,Faculty,Visual Harmony,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T001326,E06,Faculty,Style Authenticity,IMG20260430104113,DDColor,M4,Left,DDColor,M4
